HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 45    0.147    0.103    0.106  999.000    0.123    0.172    0.194  999.000    0.098    0.178    0.085    0.182   4
00 46    0.121    0.195    0.078  999.000    0.133    0.178    0.055  999.000    0.118    0.161    0.108    0.197   4
00 47    0.084    0.152    0.071  999.000    0.095    0.109    0.072  999.000    0.060    0.147    0.098    0.243   4
00 48    0.092    0.137    0.130  999.000    0.125    0.110    0.067  999.000    0.067    0.243    0.081    0.404   4
00 49    0.096    0.113    0.125  999.000    0.103    0.107    0.097  999.000    0.076    0.149    0.077    0.249   4
00 50    0.107    0.100    0.145  999.000    0.096    0.125    0.150  999.000    0.058    0.101    0.078    0.109   4
00 51    0.127    0.078    0.161  999.000    0.106    0.130    0.212  999.000    0.062    0.187    0.110    0.131   4
00 52    0.174    0.090    0.174  999.000    0.166    0.210    0.224  999.000    0.094    0.262    0.113    0.225   4
00 53    0.181    0.225    0.335  999.000    0.196    0.196    0.177  999.000    0.156    0.356    0.169    0.461   4
00 54    0.215    0.293    0.296  999.000    0.212    0.193    0.190  999.000    0.263    0.567    0.220    0.686   4
00 55    0.248    0.224    0.192  999.000    0.208    0.217    0.231  999.000    0.337    0.530    0.170    0.369   4
00 56    0.228    0.208    0.170  999.000    0.185    0.330    0.262  999.000    0.135    0.153    0.187    0.190   4
00 57    0.184    0.130    0.150  999.000    0.203    0.265    0.199  999.000    0.070    0.078    0.150    0.114   4
00 58    0.109    0.082    0.164  999.000    0.132    0.140    0.103  999.000    0.062    0.090    0.111    0.262   4
00 59    0.087    0.080    0.079  999.000    0.073    0.106    0.098  999.000    0.071    0.123    0.069    0.366   4
01 00    0.087    0.082    0.048  999.000    0.106    0.095    0.077  999.000    0.073    0.141    0.073    0.173   4
01 01    0.077    0.094    0.098  999.000    0.091    0.081    0.058  999.000    0.079    0.144    0.088    0.228   4
01 02    0.117    0.102    0.119  999.000    0.119    0.106    0.101  999.000    0.141    0.251    0.089    0.351   4
01 03    0.160    0.087    0.123  999.000    0.150    0.193    0.152  999.000    0.144    0.269    0.109    0.361   4
01 04    0.172    0.090    0.194  999.000    0.187    0.227    0.152  999.000    0.120    0.211    0.084    0.329   4
01 05    0.174    0.162    0.111  999.000    0.203    0.225    0.109  999.000    0.157    0.406    0.134    0.268   4
01 06    0.208    0.175    0.114  999.000    0.221    0.232    0.143  999.000    0.237    0.351    0.149    0.315   4
01 07    0.152    0.111    0.166  999.000    0.168    0.194    0.113  999.000    0.132    0.226    0.113    0.451   4
01 08    0.137    0.055    0.205  999.000    0.182    0.178    0.107  999.000    0.080    0.311    0.107    0.422   4
01 09    0.114    0.111    0.187  999.000    0.132    0.130    0.109  999.000    0.085    0.252    0.081    0.277   4
01 10    0.089    0.080    0.111  999.000    0.110    0.111    0.049  999.000    0.088    0.144    0.045    0.115   4
01 11    0.076    0.103    0.112  999.000    0.093    0.105    0.054  999.000    0.053    0.088    0.050    0.140   4
01 12    0.093    0.096    0.116  999.000    0.105    0.133    0.081  999.000    0.052    0.087    0.031    0.175   4
01 13    0.138    0.101    0.171  999.000    0.150    0.240    0.099  999.000    0.062    0.154    0.055    0.217   4
01 14    0.103    0.134    0.153  999.000    0.109    0.179    0.078  999.000    0.046    0.159    0.076    0.217   4
01 15    0.082    0.158    0.210  999.000    0.078    0.117    0.089  999.000    0.044    0.138    0.086    0.323   4
01 16    0.118    0.153    0.229  999.000    0.140    0.159    0.117  999.000    0.056    0.194    0.056    0.423   4
01 17    0.109    0.088    0.211  999.000    0.119    0.152    0.118  999.000    0.046    0.140    0.039    0.284   4
01 18    0.095    0.090    0.142  999.000    0.110    0.145    0.079  999.000    0.046    0.166    0.035    0.371   4
01 19    0.097    0.132    0.128  999.000    0.099    0.156    0.091  999.000    0.044    0.142    0.072    0.383   4
01 20    0.084    0.173    0.173  999.000    0.070    0.118    0.099  999.000    0.049    0.080    0.074    0.350   4
01 21    0.073    0.136    0.130  999.000    0.095    0.083    0.066  999.000    0.048    0.070    0.081    0.264   4
01 22    0.082    0.122    0.130  999.000    0.073    0.119    0.101  999.000    0.036    0.077    0.056    0.134   4
01 23    0.070    0.091    0.096  999.000    0.073    0.077    0.082  999.000    0.048    0.084    0.048    0.075   4
01 24    0.138    0.058    0.126  999.000    0.115    0.159    0.159  999.000    0.121    0.191    0.071    0.084   4
01 25    0.249    0.108    0.358  999.000    0.264    0.323    0.254  999.000    0.156    0.226    0.145    0.321   4
01 26    0.266    0.091    0.287  999.000    0.251    0.401    0.266  999.000    0.144    0.180    0.124    0.392   4
01 27    0.298    0.084    0.258  999.000    0.339    0.463    0.276  999.000    0.115    0.188    0.093    0.300   4
01 28    0.215    0.183    0.267  999.000    0.229    0.356    0.205  999.000    0.069    0.138    0.065    0.365   4
01 29    0.145    0.092    0.219  999.000    0.071    0.195    0.242  999.000    0.072    0.156    0.084    0.351   4
01 30    0.179    0.079    0.156  999.000    0.178    0.276    0.172  999.000    0.091    0.195    0.095    0.253   4
01 31    0.144    0.084    0.214  999.000    0.164    0.232    0.086  999.000    0.092    0.169    0.085    0.213   4
01 32    0.113    0.056    0.138  999.000    0.104    0.166    0.128  999.000    0.054    0.108    0.058    0.198   4
01 33    0.167    0.076    0.135  999.000    0.163    0.238    0.190  999.000    0.079    0.192    0.094    0.083   4
01 34    0.159    0.068    0.097  999.000    0.165    0.231    0.156  999.000    0.083    0.201    0.089    0.110   4
01 35    0.092    0.062    0.058  999.000    0.107    0.132    0.080  999.000    0.051    0.134    0.045    0.141   4
01 36    0.076    0.056    0.067  999.000    0.091    0.106    0.073  999.000    0.035    0.132    0.040    0.183   4
01 37    0.065    0.057    0.125  999.000    0.064    0.093    0.064  999.000    0.037    0.153    0.068    0.273   4
01 38    0.055    0.118    0.131  999.000    0.063    0.071    0.046  999.000    0.042    0.118    0.074    0.209   4
01 39    0.066    0.113    0.225  999.000    0.072    0.073    0.078  999.000    0.042    0.121    0.073    0.285   4
01 40    0.064    0.080    0.262  999.000    0.074    0.066    0.085  999.000    0.033    0.118    0.067    0.336   4
01 41    0.115    0.085    0.280  999.000    0.130    0.163    0.112  999.000    0.055    0.199    0.075    0.415   4
01 42    0.174    0.193    0.302  999.000    0.187    0.177    0.125  999.000    0.207    0.219    0.110    0.416   4
01 43    0.209    0.117    0.258  999.000    0.222    0.257    0.131  999.000    0.225    0.304    0.141    0.158   4
01 44    0.207    0.099    0.202  999.000    0.215    0.286    0.128  999.000    0.199    0.314    0.140    0.172   4
01 45    0.170    0.080    0.103  999.000    0.175    0.237    0.135  999.000    0.133    0.301    0.126    0.197   4
01 46    0.087    0.064    0.177  999.000    0.085    0.138    0.081  999.000    0.045    0.089    0.044    0.167   4
01 47    0.156    0.113    0.166  999.000    0.174    0.218    0.147  999.000    0.084    0.153    0.066    0.209   4
01 48    0.345    0.127    0.055  999.000    0.269    0.450    0.307  999.000    0.277    0.253    0.129    0.203   3
01 49    0.418    0.122    0.100  999.000    0.362    0.463    0.532  999.000    0.258    0.291    0.142    0.181   3
01 50    0.337    0.119    0.127  999.000    0.314    0.549    0.361  999.000    0.100    0.240    0.108    0.152   3
01 51    0.200    0.063    0.138  999.000    0.108    0.275    0.215  999.000    0.109    0.251    0.089    0.151   3
01 52    0.171    0.107    0.135  999.000    0.152    0.203    0.198  999.000    0.111    0.204    0.107    0.186   3
01 53    0.242    0.109    0.156  999.000    0.242    0.341    0.291  999.000    0.095    0.382    0.119    0.158   3
01 54    0.164    0.087    0.227  999.000    0.250    0.249    0.188  999.000    0.055    0.284    0.061    0.239   3
01 55    0.090    0.069    0.155  999.000    0.113    0.146    0.070  999.000    0.052    0.202    0.050    0.285   3
01 56    0.113    0.159    0.156  999.000    0.119    0.157    0.084  999.000    0.097    0.159    0.080    0.199   3
01 57    0.181    0.099    0.144  999.000    0.197    0.287    0.172  999.000    0.083    0.073    0.046    0.152   3
01 58    0.198    0.097    0.180  999.000    0.237    0.302    0.186  999.000    0.105    0.072    0.044    0.227   3
01 59    0.159    0.108    0.215  999.000    0.146    0.208    0.130  999.000    0.138    0.139    0.055    0.118   3
02 00    0.193    0.147    0.230  999.000    0.165    0.263    0.166  999.000    0.206    0.138    0.065    0.247   4
02 01    0.215    0.165    0.157  999.000    0.234    0.250    0.220  999.000    0.219    0.172    0.130    0.322   4
02 02    0.208    0.239    0.298  999.000    0.142    0.199    0.139  999.000    0.210    0.284    0.209    0.552   4
02 03    0.231    0.177    0.411  999.000    0.136    0.190    0.113  999.000    0.145    0.477    0.167    0.591   4
02 04    0.210    0.125    0.349  999.000    0.084    0.193    0.124  999.000    0.171    0.352    0.086    0.339   4
02 05    0.118    0.077    0.188  999.000    0.064    0.120    0.110  999.000    0.103    0.138    0.054    0.233   4
02 06    0.087    0.058    0.162  999.000    0.062    0.086    0.058  999.000    0.088    0.118    0.068    0.245   4
02 07    0.189    0.131    0.203  999.000    0.128    0.110    0.146  999.000    0.276    0.226    0.093    0.238   4
02 08    0.289    0.111    0.266  999.000    0.238    0.219    0.276  999.000    0.367    0.294    0.127    0.256   4
02 09    0.334    0.213    0.295  999.000    0.261    0.164    0.428  999.000    0.421    0.323    0.211    0.377   4
02 10    0.321    0.214    0.305  999.000    0.276    0.211    0.273  999.000    0.359    0.441    0.176    0.451   4
02 11    0.231    0.175    0.201  999.000    0.211    0.208    0.278  999.000    0.152    0.286    0.116    0.395   4
02 12    0.189    0.104    0.163  999.000    0.239    0.275    0.205  999.000    0.115    0.163    0.105    0.181   4
02 13    0.292    0.196    0.185  999.000    0.339    0.368    0.310  999.000    0.185    0.306    0.157    0.350   4
02 14    0.307    0.183    0.194  999.000    0.332    0.407    0.328  999.000    0.214    0.279    0.169    0.269   4
02 15    0.218    0.098    0.125  999.000    0.193    0.253    0.245  999.000    0.175    0.198    0.084    0.202   4
02 16    0.196    0.143    0.180  999.000    0.118    0.242    0.168  999.000    0.179    0.196    0.117    0.206   4
02 17    0.192    0.168    0.111  999.000    0.194    0.203    0.195  999.000    0.222    0.146    0.152    0.285   4
02 18    0.179    0.118    0.112  999.000    0.217    0.183    0.180  999.000    0.168    0.184    0.143    0.183   4
02 19    0.191    0.091    0.132  999.000    0.180    0.174    0.188  999.000    0.191    0.211    0.129    0.198   4
02 20    0.170    0.084    0.133  999.000    0.161    0.182    0.221  999.000    0.109    0.168    0.117    0.252   4
02 21    0.148    0.074    0.054  999.000    0.133    0.205    0.121  999.000    0.098    0.170    0.071    0.168   4
02 22    0.085    0.092    0.045  999.000    0.120    0.109    0.078  999.000    0.042    0.109    0.063    0.128   4
02 23    0.079    0.066    0.136  999.000    0.083    0.094    0.074  999.000    0.023    0.123    0.041    0.142   4
02 24    0.130    0.123    0.160  999.000    0.207    0.195    0.130  999.000    0.041    0.152    0.086    0.240   4
02 25    0.175    0.112    0.206  999.000    0.197    0.201    0.251  999.000    0.112    0.136    0.085    0.270   4
02 26    0.167    0.133    0.168  999.000    0.180    0.254    0.195  999.000    0.125    0.093    0.052    0.297   4
02 27    0.143    0.084    0.208  999.000    0.125    0.264    0.131  999.000    0.099    0.080    0.059    0.240   4
02 28    0.122    0.080    0.160  999.000    0.136    0.249    0.100  999.000    0.070    0.070    0.044    0.131   4
02 29    0.076    0.090    0.115  999.000    0.098    0.126    0.063  999.000    0.047    0.067    0.051    0.153   4
02 30    0.112    0.100    0.142  999.000    0.136    0.142    0.119  999.000    0.073    0.113    0.069    0.237   4
02 31    0.142    0.188    0.327  999.000    0.191    0.138    0.186  999.000    0.127    0.118    0.146    0.446   4
02 32    0.217    0.254    0.244  999.000    0.258    0.312    0.247  999.000    0.097    0.211    0.186    0.492   4
02 33    0.189    0.170    0.203  999.000    0.260    0.299    0.149  999.000    0.106    0.201    0.090    0.256   4
02 34    0.164    0.114    0.149  999.000    0.179    0.276    0.108  999.000    0.081    0.191    0.053    0.261   4
02 35    0.094    0.082    0.111  999.000    0.107    0.139    0.056  999.000    0.080    0.101    0.038    0.170   4
02 36    0.099    0.079    0.188  999.000    0.117    0.105    0.069  999.000    0.100    0.122    0.037    0.119   4
02 37    0.098    0.064    0.201  999.000    0.087    0.107    0.102  999.000    0.077    0.106    0.071    0.175   4
02 38    0.122    0.076    0.119  999.000    0.045    0.129    0.092  999.000    0.151    0.116    0.074    0.117   4
02 39    0.139    0.104    0.183  999.000    0.127    0.168    0.096  999.000    0.187    0.104    0.103    0.111   4
02 40    0.162    0.133    0.167  999.000    0.165    0.184    0.159  999.000    0.204    0.102    0.092    0.245   4
02 41    0.141    0.163    0.226  999.000    0.113    0.135    0.207  999.000    0.113    0.111    0.115    0.275   4
02 42    0.160    0.105    0.126  999.000    0.121    0.121    0.223  999.000    0.134    0.162    0.086    0.187   4
02 43    0.192    0.090    0.254  999.000    0.266    0.249    0.244  999.000    0.121    0.154    0.049    0.323   4
02 44    0.185    0.251    0.228  999.000    0.357    0.354    0.177  999.000    0.151    0.226    0.139    0.400   3
02 45    0.184    0.333    0.427  999.000    0.242    0.189    0.112  999.000    0.155    0.284    0.128    0.976   3
02 46    0.151    0.353    0.521  999.000    0.124    0.206    0.172  999.000    0.078    0.202    0.227    0.756   3
02 47    0.138    0.254    0.278  999.000    0.141    0.219    0.222  999.000    0.073    0.120    0.204    0.602   3
02 48    0.189    0.292    0.203  999.000    0.347    0.279    0.297  999.000    0.092    0.177    0.239    1.148   3
02 49    0.193    0.411    0.319  999.000    0.356    0.299    0.247  999.000    0.097    0.237    0.368    1.311   3
02 50    0.244    0.346    0.461  999.000    0.223    0.250    0.220  999.000    0.127    0.385    0.179    0.709   3
02 51    0.272    0.300    0.477  999.000    0.285    0.311    0.233  999.000    0.144    0.438    0.184    0.819   3
02 52    0.291    0.429    0.323  999.000    0.384    0.328    0.358  999.000    0.129    0.385    0.093    0.801   3
02 53    0.295    0.264    0.282  999.000    0.218    0.328    0.327  999.000    0.152    0.406    0.124    0.449   3
02 54    0.194    0.212    0.197  999.000    0.180    0.333    0.268  999.000    0.095    0.218    0.145    0.578   3
02 55    0.159    0.214    0.295  999.000    0.142    0.231    0.206  999.000    0.095    0.177    0.134    0.570   3
02 56    0.149    0.191    0.257  999.000    0.105    0.169    0.197  999.000    0.088    0.161    0.133    0.466   3
02 57    0.128    0.128    0.136  999.000    0.131    0.204    0.182  999.000    0.081    0.123    0.065    0.166   3
02 58    0.139    0.086    0.128  999.000    0.243    0.342    0.201  999.000    0.075    0.141    0.062    0.272   3
02 59    0.077    0.096    0.097  999.000    0.168    0.154    0.097  999.000    0.048    0.088    0.045    0.293   3
03 00    0.069    0.123    0.114  999.000    0.094    0.084    0.085  999.000    0.054    0.070    0.050    0.243   3
03 01    0.076    0.085    0.109  999.000    0.062    0.101    0.088  999.000    0.053    0.086    0.058    0.149   3
03 02    0.066    0.069    0.104  999.000    0.048    0.077    0.101  999.000    0.039    0.058    0.033    0.090   3
03 03    0.068    0.056    0.069  999.000    0.060    0.079    0.070  999.000    0.043    0.090    0.039    0.144   3
03 04    0.063    0.070    0.069  999.000    0.079    0.073    0.075  999.000    0.032    0.081    0.041    0.130   3
03 05    0.062    0.092    0.117  999.000    0.085    0.076    0.066  999.000    0.031    0.089    0.035    0.162   3
03 06    0.052    0.064    0.094  999.000    0.118    0.135    0.062  999.000    0.026    0.068    0.026    0.278   3
03 07    0.056    0.114    0.084  999.000    0.103    0.129    0.055  999.000    0.031    0.080    0.047    0.373   3
03 08    0.071    0.058    0.066  999.000    0.106    0.098    0.062  999.000    0.036    0.115    0.032    0.313   3
03 09    0.071    0.056    0.055  999.000    0.081    0.066    0.085  999.000    0.034    0.094    0.031    0.215   3
03 10    0.080    0.078    0.130  999.000    0.127    0.083    0.111  999.000    0.038    0.091    0.050    0.336   3
03 11    0.082    0.056    0.104  999.000    0.093    0.096    0.091  999.000    0.045    0.112    0.055    0.316   3
03 12    0.078    0.057    0.072  999.000    0.059    0.076    0.108  999.000    0.041    0.086    0.040    0.248   3
03 13    0.080    0.067    0.044  999.000    0.058    0.075    0.121  999.000    0.036    0.083    0.024    0.168   3
03 14    0.063    0.067    0.066  999.000    0.084    0.099    0.080  999.000    0.034    0.074    0.017    0.163   3
03 15    0.060    0.078    0.055  999.000    0.070    0.078    0.054  999.000    0.036    0.089    0.016    0.141   3
03 16    0.077    0.056    0.025  999.000    0.055    0.105    0.065  999.000    0.057    0.109    0.020    0.121   3
03 17    0.059    0.046    0.035  999.000    0.059    0.098    0.074  999.000    0.036    0.067    0.012    0.101   3
03 18    0.051    0.040    0.047  999.000    0.058    0.115    0.047  999.000    0.039    0.066    0.018    0.096   3
03 19    0.051    0.043    0.050  999.000    0.067    0.128    0.049  999.000    0.039    0.065    0.023    0.053   3
03 20    0.056    0.046    0.104  999.000    0.066    0.117    0.051  999.000    0.045    0.072    0.023    0.078   3
03 21    0.066    0.058    0.101  999.000    0.049    0.089    0.087  999.000    0.042    0.068    0.027    0.081   3
03 22    0.065    0.089    0.066  999.000    0.067    0.098    0.104  999.000    0.037    0.053    0.025    0.067   3
03 23    0.064    0.096    0.062  999.000    0.077    0.053    0.096  999.000    0.038    0.057    0.028    0.107   3
03 24    0.082    0.081    0.087  999.000    0.053    0.088    0.110  999.000    0.054    0.081    0.033    0.151   3
03 25    0.079    0.063    0.067  999.000    0.083    0.122    0.076  999.000    0.076    0.084    0.030    0.153   3
03 26    0.191    0.071    0.120  999.000    0.113    0.173    0.122  999.000    0.234    0.217    0.094    0.173   3
03 27    0.339    0.153    0.191  999.000    0.127    0.191    0.161  999.000    0.432    0.423    0.131    0.204   3
03 28    0.176    0.141    0.160  999.000    0.078    0.144    0.087  999.000    0.241    0.201    0.117    0.136   3
03 29    0.272    0.121    0.132  999.000    0.140    0.117    0.098  999.000    0.315    0.403    0.136    0.165   3
03 30    0.301    0.158    0.171  999.000    0.131    0.126    0.140  999.000    0.311    0.453    0.147    0.162   3
03 31    0.242    0.170    0.175  999.000    0.087    0.148    0.112  999.000    0.252    0.361    0.104    0.168   3
03 32    0.157    0.194    0.164  999.000    0.084    0.125    0.114  999.000    0.151    0.204    0.084    0.173   3
03 33    0.229    0.134    0.116  999.000    0.125    0.214    0.138  999.000    0.201    0.257    0.090    0.223   2
03 34    0.238    0.082    0.102  999.000    0.146    0.219    0.230  999.000    0.231    0.245    0.068    0.198   2
03 35    0.286    0.092    0.117  999.000    0.189    0.239    0.281  999.000    0.305    0.268    0.065    0.185   2
03 36    0.214    0.127    0.106  999.000    0.156    0.266    0.261  999.000    0.245    0.184    0.086    0.120   2
03 37    0.126    0.066    0.114  999.000    0.130    0.118    0.116  999.000    0.114    0.139    0.072    0.156   2
03 38    0.105    0.039    0.130  999.000    0.075    0.082    0.108  999.000    0.084    0.127    0.044    0.173   2
03 39    0.092    0.040    0.108  999.000    0.062    0.174    0.152  999.000    0.110    0.075    0.060    0.212   2
03 40    0.081    0.079    0.109  999.000    0.067    0.109    0.132  999.000    0.085    0.076    0.065    0.180   2
03 41    0.090    0.121    0.097  999.000    0.122    0.127    0.233  999.000    0.100    0.079    0.080    0.174   2
03 42    0.182    0.119    0.107  999.000    0.138    0.164    0.186  999.000    0.163    0.201    0.125    0.235   2
03 43    0.165    0.095    0.143  999.000    0.127    0.112    0.173  999.000    0.144    0.186    0.105    0.143   2
03 44    0.081    0.066    0.141  999.000    0.085    0.159    0.100  999.000    0.084    0.079    0.056    0.171   2
03 45    0.125    0.121    0.174  999.000    0.111    0.158    0.133  999.000    0.098    0.152    0.074    0.222   2
03 46    0.113    0.125    0.131  999.000    0.118    0.174    0.161  999.000    0.077    0.148    0.052    0.119   2
03 47    0.107    0.096    0.097  999.000    0.180    0.283    0.123  999.000    0.076    0.138    0.051    0.200   2
03 48    0.106    0.078    0.123  999.000    0.137    0.196    0.116  999.000    0.086    0.126    0.054    0.141   2
03 49    0.126    0.124    0.138  999.000    0.061    0.109    0.113  999.000    0.097    0.155    0.065    0.096   2
03 50    0.071    0.109    0.098  999.000    0.107    0.103    0.191  999.000    0.058    0.085    0.070    0.098   2
03 51    0.107    0.169    0.069  999.000    0.089    0.069    0.197  999.000    0.086    0.128    0.048    0.090   2
03 52    0.114    0.176    0.063  999.000    0.115    0.135    0.161  999.000    0.074    0.154    0.038    0.075   2
03 53    0.122    0.163    0.086  999.000    0.159    0.195    0.150  999.000    0.076    0.168    0.051    0.086   2
03 54    0.112    0.158    0.109  999.000    0.153    0.215    0.197  999.000    0.057    0.167    0.065    0.153   2
03 55    0.077    0.080    0.074  999.000    0.152    0.191    0.168  999.000    0.054    0.100    0.045    0.106   2
03 56    0.079    0.077    0.124  999.000    0.149    0.365    0.225  999.000    0.054    0.104    0.042    0.082   2
03 57    0.068    0.064    0.086  999.000    0.149    0.338    0.211  999.000    0.051    0.086    0.045    0.088   2
03 58    0.051    0.068    0.079  999.000    0.143    0.174    0.153  999.000    0.041    0.062    0.036    0.104   2
03 59    0.061    0.051    0.072  999.000    0.173    0.166    0.149  999.000    0.048    0.074    0.019    0.157   2
04 00    0.076    0.092    0.117  999.000    0.192    0.172    0.181  999.000    0.052    0.101    0.025    0.102   2
04 01    0.068    0.127    0.155  999.000    0.165    0.199    0.237  999.000    0.048    0.088    0.039    0.159   2
04 02    0.080    0.072    0.079  999.000    0.086    0.120    0.131  999.000    0.047    0.113    0.036    0.112   2
04 03    0.174    0.112    0.120  999.000    0.161    0.209    0.139  999.000    0.074    0.274    0.062    0.137   2
04 04    0.440    0.121    0.132  999.000    0.091    0.214    0.162  999.000    0.173    0.706    0.191    0.131   2
04 05    0.448    0.167    0.053  999.000    0.126    0.163    0.124  999.000    0.179    0.717    0.168    0.098   2
04 06    0.211    0.183    0.137  999.000    0.094    0.200    0.080  999.000    0.070    0.351    0.132    0.181   2
04 07    0.119    0.107    0.141  999.000    0.069    0.148    0.076  999.000    0.040    0.198    0.073    0.183   2
04 08    0.196    0.133    0.263  999.000    0.075    0.086    0.083  999.000    0.061    0.331    0.138    0.278   2
04 09    0.202    0.196    0.287  999.000    0.111    0.096    0.082  999.000    0.094    0.310    0.146    0.356   2
04 10    0.159    0.146    0.174  999.000    0.080    0.123    0.101  999.000    0.076    0.243    0.112    0.243   2
04 11    0.152    0.113    0.100  999.000    0.109    0.150    0.067  999.000    0.070    0.235    0.105    0.257   2
04 12    0.094    0.100    0.152  999.000    0.105    0.132    0.111  999.000    0.054    0.134    0.074    0.364   2
04 13    0.078    0.106    0.126  999.000    0.111    0.148    0.119  999.000    0.042    0.114    0.095    0.276   2
04 14    0.084    0.088    0.150  999.000    0.140    0.150    0.110  999.000    0.042    0.127    0.088    0.212   2
04 15    0.079    0.068    0.196  999.000    0.197    0.217    0.133  999.000    0.044    0.114    0.065    0.229   2
04 16    0.060    0.062    0.145  999.000    0.133    0.097    0.091  999.000    0.041    0.079    0.057    0.151   2
