HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 00    0.062    0.070    0.157  999.000    0.077    0.080    0.046  999.000    0.046    0.088    0.057    0.221   4
00 01    0.066    0.059    0.160  999.000    0.055    0.099    0.065  999.000    0.044    0.110    0.054    0.267   4
00 02    0.087    0.052    0.110  999.000    0.075    0.145    0.073  999.000    0.053    0.156    0.078    0.197   4
00 03    0.086    0.077    0.157  999.000    0.103    0.124    0.069  999.000    0.051    0.100    0.051    0.327   4
00 04    0.109    0.090    0.158  999.000    0.133    0.156    0.089  999.000    0.057    0.174    0.089    0.321   4
00 05    0.099    0.097    0.120  999.000    0.110    0.148    0.095  999.000    0.044    0.143    0.088    0.230   4
00 06    0.097    0.049    0.124  999.000    0.104    0.143    0.094  999.000    0.047    0.133    0.065    0.170   4
00 07    0.080    0.057    0.206  999.000    0.078    0.145    0.066  999.000    0.030    0.111    0.047    0.130   4
00 08    0.110    0.075    0.190  999.000    0.122    0.159    0.121  999.000    0.040    0.148    0.059    0.187   4
00 09    0.085    0.103    0.158  999.000    0.080    0.121    0.097  999.000    0.042    0.135    0.049    0.204   4
00 10    0.093    0.139    0.298  999.000    0.109    0.143    0.078  999.000    0.041    0.098    0.054    0.169   4
00 11    0.095    0.096    0.252  999.000    0.103    0.137    0.079  999.000    0.062    0.184    0.093    0.211   4
00 12    0.066    0.091    0.253  999.000    0.061    0.083    0.066  999.000    0.056    0.123    0.071    0.201   4
00 13    0.067    0.112    0.193  999.000    0.070    0.112    0.059  999.000    0.026    0.081    0.108    0.231   4
00 14    0.086    0.111    0.171  999.000    0.112    0.136    0.067  999.000    0.031    0.099    0.098    0.290   4
00 15    0.084    0.103    0.261  999.000    0.084    0.124    0.085  999.000    0.041    0.132    0.086    0.236   4
00 16    0.089    0.071    0.204  999.000    0.105    0.145    0.068  999.000    0.038    0.112    0.063    0.326   4
00 17    0.046    0.082    0.239  999.000    0.059    0.058    0.035  999.000    0.033    0.079    0.056    0.203   4
00 18    0.051    0.070    0.138  999.000    0.050    0.066    0.042  999.000    0.045    0.113    0.057    0.159   4
00 19    0.111    0.101    0.136  999.000    0.098    0.082    0.149  999.000    0.116    0.245    0.111    0.226   4
00 20    0.171    0.119    0.128  999.000    0.149    0.125    0.230  999.000    0.181    0.338    0.147    0.227   4
00 21    0.197    0.125    0.081  999.000    0.188    0.206    0.277  999.000    0.118    0.211    0.122    0.225   4
00 22    0.306    0.094    0.138  999.000    0.296    0.412    0.446  999.000    0.068    0.109    0.095    0.316   4
00 23    0.181    0.156    0.191  999.000    0.189    0.227    0.245  999.000    0.062    0.150    0.130    0.387   4
00 24    0.145    0.134    0.177  999.000    0.255    0.148    0.097  999.000    0.082    0.156    0.102    0.384   4
00 25    0.153    0.077    0.235  999.000    0.186    0.233    0.116  999.000    0.080    0.157    0.079    0.225   4
00 26    0.143    0.063    0.146  999.000    0.120    0.179    0.176  999.000    0.098    0.148    0.079    0.268   4
00 27    0.119    0.072    0.112  999.000    0.114    0.165    0.146  999.000    0.051    0.139    0.068    0.215   4
00 28    0.111    0.063    0.129  999.000    0.135    0.180    0.065  999.000    0.065    0.174    0.096    0.275   4
00 29    0.083    0.072    0.155  999.000    0.078    0.100    0.075  999.000    0.080    0.250    0.099    0.351   4
00 30    0.112    0.109    0.194  999.000    0.154    0.187    0.055  999.000    0.052    0.232    0.094    0.388   4
00 31    0.080    0.123    0.167  999.000    0.075    0.116    0.070  999.000    0.058    0.172    0.053    0.277   4
00 32    0.132    0.089    0.199  999.000    0.167    0.184    0.131  999.000    0.047    0.088    0.053    0.147   4
00 33    0.149    0.118    0.226  999.000    0.176    0.239    0.150  999.000    0.029    0.127    0.067    0.130   4
00 34    0.119    0.130    0.164  999.000    0.122    0.184    0.112  999.000    0.056    0.143    0.045    0.110   4
00 35    0.128    0.112    0.140  999.000    0.110    0.188    0.136  999.000    0.077    0.189    0.091    0.083   4
00 36    0.106    0.108    0.155  999.000    0.116    0.128    0.114  999.000    0.064    0.139    0.074    0.102   4
00 37    0.102    0.082    0.177  999.000    0.120    0.161    0.096  999.000    0.032    0.065    0.052    0.108   4
00 38    0.086    0.077    0.150  999.000    0.101    0.149    0.060  999.000    0.034    0.055    0.048    0.117   4
00 39    0.083    0.066    0.164  999.000    0.085    0.132    0.059  999.000    0.057    0.111    0.044    0.099   4
00 40    0.118    0.056    0.148  999.000    0.068    0.170    0.090  999.000    0.144    0.297    0.103    0.136   4
00 41    0.385    0.167    0.133  999.000    0.278    0.322    0.445  999.000    0.494    0.474    0.235    0.201   4
00 42    0.694    0.191    0.135  999.000    0.603    0.703    0.776  999.000    0.695    0.787    0.332    0.206   4
00 43    0.483    0.158    0.165  999.000    0.377    0.549    0.568  999.000    0.436    0.879    0.292    0.203   4
00 44    0.291    0.098    0.127  999.000    0.216    0.358    0.393  999.000    0.196    0.288    0.133    0.152   4
