HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 58    0.154    0.374    0.815  999.000  999.000    0.304    0.155    0.103    0.056    0.221    0.123    0.954   4
00 59    0.091    0.453    0.902  999.000  999.000    0.168    0.099    0.056    0.042    0.326    0.171    0.924   4
01 00    0.094    0.360    0.830  999.000  999.000    0.129    0.096    0.067    0.085    0.390    0.132    0.933   4
01 01    0.077    0.282    0.554  999.000  999.000    0.084    0.080    0.085    0.061    0.327    0.082    0.809   4
01 02    0.119    0.227    0.356  999.000  999.000    0.195    0.121    0.112    0.047    0.198    0.047    0.843   4
01 03    0.116    0.230    0.434  999.000  999.000    0.207    0.100    0.108    0.049    0.111    0.078    1.199   4
01 04    0.092    0.274    0.384  999.000  999.000    0.173    0.071    0.079    0.044    0.108    0.084    1.249   4
01 05    0.087    0.149    0.480  999.000  999.000    0.191    0.065    0.054    0.039    0.124    0.060    0.768   4
01 06    0.098    0.173    0.321  999.000  999.000    0.225    0.065    0.068    0.035    0.138    0.063    0.761   4
01 07    0.076    0.131    0.215  999.000  999.000    0.082    0.083    0.093    0.044    0.162    0.034    0.596   4
01 08    0.106    0.131    0.186  999.000  999.000    0.155    0.117    0.103    0.050    0.123    0.062    0.500   4
01 09    0.100    0.125    0.129  999.000  999.000    0.194    0.084    0.093    0.029    0.094    0.055    0.453   4
01 10    0.057    0.086    0.117  999.000  999.000    0.100    0.048    0.049    0.030    0.052    0.037    0.373   4
01 11    0.052    0.070    0.146  999.000  999.000    0.081    0.045    0.047    0.037    0.097    0.033    0.416   4
01 12    0.106    0.064    0.113  999.000  999.000    0.228    0.090    0.055    0.053    0.114    0.065    0.233   4
01 13    0.096    0.061    0.080  999.000  999.000    0.198    0.104    0.044    0.039    0.071    0.048    0.267   4
01 14    0.094    0.062    0.043  999.000  999.000    0.159    0.102    0.075    0.041    0.080    0.036    0.163   4
01 15    0.108    0.098    0.033  999.000  999.000    0.183    0.119    0.097    0.031    0.055    0.045    0.169   4
01 16    0.091    0.080    0.028  999.000  999.000    0.132    0.120    0.074    0.040    0.064    0.039    0.130   4
01 17    0.086    0.068    0.038  999.000  999.000    0.128    0.122    0.061    0.034    0.061    0.028    0.172   4
01 18    0.072    0.068    0.052  999.000  999.000    0.119    0.073    0.052    0.043    0.207    0.050    0.181   4
01 19    0.095    0.079    0.040  999.000  999.000    0.169    0.091    0.076    0.042    0.282    0.044    0.133   4
01 20    0.093    0.089    0.089  999.000  999.000    0.149    0.094    0.075    0.052    0.098    0.030    0.269   4
01 21    0.054    0.125    0.210  999.000  999.000    0.068    0.064    0.044    0.040    0.136    0.040    0.430   4
01 22    0.079    0.153    0.406  999.000  999.000    0.123    0.092    0.056    0.047    0.274    0.045    0.851   4
01 23    0.122    0.289    0.705  999.000  999.000    0.217    0.147    0.074    0.050    0.292    0.078    1.115   4
01 24    0.127    0.332    0.568  999.000  999.000    0.244    0.138    0.075    0.048    0.233    0.091    0.626   4
01 25    0.107    0.330    0.518  999.000  999.000    0.195    0.115    0.074    0.042    0.222    0.085    1.178   4
01 26    0.102    0.291    0.804  999.000  999.000    0.168    0.108    0.084    0.049    0.253    0.126    1.164   4
01 27    0.102    0.234    0.547  999.000  999.000    0.215    0.079    0.063    0.051    0.172    0.129    0.824   4
01 28    0.112    0.223    0.429  999.000  999.000    0.220    0.073    0.108    0.047    0.079    0.102    0.777   4
01 29    0.137    0.190    0.398  999.000  999.000    0.211    0.123    0.155    0.058    0.143    0.087    0.646   4
01 30    0.166    0.205    0.389  999.000  999.000    0.244    0.181    0.162    0.076    0.176    0.084    0.642   4
01 31    0.158    0.233    0.493  999.000  999.000    0.228    0.180    0.144    0.079    0.183    0.072    0.855   4
01 32    0.126    0.210    0.363  999.000  999.000    0.158    0.190    0.085    0.071    0.117    0.050    0.470   4
01 33    0.085    0.176    0.284  999.000  999.000    0.103    0.111    0.073    0.053    0.152    0.052    0.734   4
01 34    0.085    0.147    0.311  999.000  999.000    0.127    0.081    0.067    0.067    0.207    0.068    0.816   4
01 35    0.174    0.172    0.868  999.000  999.000    0.354    0.153    0.142    0.045    0.282    0.059    0.873   4
01 36    0.237    0.407    1.105  999.000  999.000    0.448    0.222    0.219    0.060    0.355    0.067    1.168   4
01 37    0.353    0.455    0.697  999.000  999.000    0.564    0.374    0.343    0.130    0.374    0.122    1.932   4
01 38    0.376    0.292    0.555  999.000  999.000    0.578    0.410    0.336    0.178    0.429    0.102    1.108   4
01 39    0.270    0.329    0.486  999.000  999.000    0.398    0.292    0.212    0.179    0.337    0.098    1.588   4
01 40    0.334    0.201    0.288  999.000  999.000    0.635    0.341    0.239    0.121    0.183    0.066    0.927   4
01 41    0.212    0.311    0.448  999.000  999.000    0.436    0.173    0.111    0.128    0.059    0.090    1.219   4
01 42    0.127    0.296    0.352  999.000  999.000    0.212    0.079    0.109    0.110    0.097    0.074    1.055   4
01 43    0.097    0.153    0.352  999.000  999.000    0.093    0.071    0.122    0.100    0.138    0.072    0.736   4
01 44    0.186    0.154    0.350  999.000  999.000    0.221    0.216    0.193    0.113    0.135    0.068    0.577   4
01 45    0.229    0.104    0.197  999.000  999.000    0.294    0.260    0.232    0.132    0.182    0.077    0.392   4
01 46    0.146    0.083    0.116  999.000  999.000    0.210    0.151    0.133    0.092    0.104    0.041    0.304   4
01 47    0.120    0.103    0.085  999.000  999.000    0.225    0.126    0.093    0.037    0.046    0.043    0.271   4
