; code      glat      glon       mlat    mlon
288
GZH        23.00    112.50      0.00      0.00
HAD        51.00    355.50      0.00      0.00
HBK       -25.90     27.70      0.00      0.00
HER       -34.40     19.20      0.00      0.00
HLP        54.60     18.80      0.00      0.00
HON        21.30    202.00      0.00      0.00
HRB        47.90     18.20      0.00      0.00
HRN        77.00     15.60      0.00      0.00
HUA       -12.10    284.70      0.00      0.00
HYB        17.40     78.60      0.00      0.00
IQA        63.70    291.50      0.00      0.00
IRT        52.30    104.50      0.00      0.00
ISK        41.10     29.10      0.00      0.00
IZN        40.50     29.70      0.00      0.00
KAK        36.20    140.20      0.00      0.00
KDU       -12.60    132.50      0.00      0.00
KMH        26.50     18.10      0.00      0.00
KNY        31.40    130.90      0.00      0.00
KOU         5.20    307.30      0.00      0.00
LER        60.10    358.80      0.00      0.00
LNP        25.00    121.20      0.00      0.00
LOV        59.30     17.20      0.00      0.00
LRM       -22.20    114.10      0.00      0.00
LVV        49.90     23.80      0.00      0.00
LYC        64.60     18.80      0.00      0.00
LZH        36.10    103.80      0.00      0.00
MAB        50.30      5.70      0.00      0.00
MAW       -67.50     62.90      0.00      0.00
MBC        76.30    240.60      0.00      0.00
MBO        14.40    343.00      0.00      0.00
MCQ       -54.50    158.80      0.00      0.00
MEA        54.60    246.70      0.00      0.00
MGD        60.10    150.10      0.00      0.00
MID        28.20    182.60      0.00      0.00
MMB        43.90    144.20      0.00      0.00
NAQ        61.20    314.60      0.00      0.00
NCK        47.60     16.70      0.00      0.00
NEW        48.30    242.90      0.00      0.00
NGK        54.10     12.70      0.00      0.00
NUR        60.50     24.60      0.00      0.00
NVS        54.90     83.30      0.00      0.00
OTT        45.40    284.50      0.00      0.00
PAF       -49.40     70.30      0.00      0.00
PAG        42.50     24.20      0.00      0.00
PBQ        55.30    282.20      0.00      0.00
PHU        21.00    106.00      0.00      0.00
PPT       -17.60    210.40      0.00      0.00
PST       -51.70    302.10      0.00      0.00
QSB        33.90     35.60      0.00      0.00
RES        74.70    265.10      0.00      0.00
SBA       -77.80    166.80      0.00      0.00
SFS        36.70    354.10      0.00      0.00
SHU        55.40    199.50      0.00      0.00
SIT        57.10    224.70      0.00      0.00
SJG        18.10    293.80      0.00      0.00
SOD        67.40     26.60      0.00      0.00
SPT        39.50    355.60      0.00      0.00
STJ        47.60    307.30      0.00      0.00
SUA        44.70     26.30      0.00      0.00
TAM        22.80      5.50      0.00      0.00
TAN       -18.90     47.30      0.00      0.00
TEO        19.80    260.80      0.00      0.00
THL        77.50    290.70      0.00      0.00
THY        43.10     17.90      0.00      0.00
TIK        71.60    129.00      0.00      0.00
TRW       -43.30    294.70      0.00      0.00
TSU       -19.20     17.60      0.00      0.00
TUC        32.20    249.20      0.00      0.00
UPS        59.90     17.40      0.00      0.00
VAL        51.90    349.80      0.00      0.00
VIC        48.50    236.60      0.00      0.00
VSS       -22.40    316.40      0.00      0.00
WNG        53.80      9.10      0.00      0.00
YKC        62.50    245.50      0.00      0.00
$MACCS
NAN        56.4      298.3      64.2      22.0
PGG        66.1      294.2      74.2      19.4
CRV        70.5      291.4      78.7      17.6
IQA        63.8      291.5      72.3      14.6
CDR        64.2      283.4      73.5       1.7
IGL        69.3      278.2      78.5     352.9
CHB        64.19     276.65     73.7     350.5
RBY        66.52     273.77     76.0     345.0
PEB        68.54     270.21     77.7     338.1
BLC        64.3      264.0      73.5     328.6
GJO        68.63     264.15     77.5     326.6
RES        74.7      265.0      83.0     321.6
CBB        69.1      255.0      76.9     310.6
$NIPR
TJO        66.20     -17.12     66.47     72.22
AED        66.06     337.60     67.09     67.81
HUS        64.40     338.98     65.10     67.72
$GBM_THEMIS
CDRT       64.2      283.4      73.5       1.7
CRVR       70.5      291.4      78.7      17.6
ATHA       54.714    246.686    65.10     67.72
ARCT       68.133    214.433    65.10     67.72
BETT       66.901    208.446    65.10     67.72
BMLS       46.240    275.660    65.10     67.72
CCNV       39.190    240.220    65.10     67.72
CHBG       49.814    285.581    65.10     67.72
CIGO       64.874    212.141    65.10     67.72
DRBY       44.950    287.870    65.10     67.72
EAGL       64.780    218.838    65.10     67.72
FSIM       61.762    238.779    65.10     67.72
FSMI       59.984    248.158    65.10     67.72
FYTS       46.090    259.350    65.10     67.72
FYKN       66.560    214.786    65.10     67.72
GAKO       62.407    214.842    65.10     67.72
GBAY       53.316    299.540    65.10     67.72
GILL       56.35     265.34     65.10     67.72
HOML       61.235    210.133    65.10     67.72
HOMR       59.658    208.349    65.10     67.72
HOTS       47.590    245.340    65.10     67.72
INUV       68.413    226.230    65.10     67.72
KAKO       70.135    216.353    65.10     67.72
KAPU       49.392    277.680    65.10     67.72
KIAN       66.971    199.562    65.10     67.72
KUUJ       58.155    291.468    65.10     67.72
LOYS       40.170    281.620    65.10     67.72
MCGR       62.953    204.404    65.10     67.72
NAIN       56.400    298.300    63.80     22.11
NRSQ       61.162    314.558    65.10     67.72
PANG       66.100    294.200    73.88     19.39
PGEO       53.815    237.172    65.10     67.72
POKR       65.119    212.567    65.10     67.72
PINA       50.16     263.93     65.10     67.72
PINE       43.110    257.400    65.10     67.72
PTRS       56.830    226.840    65.10     67.72
RANK       62.83     267.89     65.10     67.72
RBAY       66.52     273.77     76.00    345.0
RMUS       43.600    274.840    65.10     67.72
SNAP       63.580    249.130    65.10     67.72
SNKQ       56.54     280.77     65.10     67.72
SWNO       44.780    271.400    65.10     67.72
TALO       69.541    266.446    65.10     67.72
TPAS       53.994    259.059    65.10     67.72
TRAP       62.335    209.754    65.10     67.72
UKIA       45.130    241.070    65.10     67.72
WHIT       61.010    224.777    65.10     67.72
