HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 32    0.051    0.045    0.034  999.000  999.000    0.077    0.048  999.000    0.029    0.124    0.020    0.107   3
00 33    0.046    0.022    0.047  999.000  999.000    0.066    0.040  999.000    0.032    0.108    0.023    0.068   3
00 34    0.052    0.029    0.096  999.000  999.000    0.073    0.042  999.000    0.040    0.105    0.051    0.102   3
00 35    0.056    0.024    0.120  999.000  999.000    0.080    0.049  999.000    0.038    0.081    0.040    0.084   3
00 36    0.051    0.038    0.056  999.000  999.000    0.073    0.046  999.000    0.033    0.080    0.042    0.116   3
00 37    0.047    0.047    0.056  999.000  999.000    0.064    0.050  999.000    0.027    0.112    0.048    0.084   3
00 38    0.047    0.064    0.079  999.000  999.000    0.071    0.041  999.000    0.030    0.094    0.029    0.123   3
00 39    0.057    0.072    0.062  999.000  999.000    0.088    0.038  999.000    0.044    0.080    0.043    0.121   3
00 40    0.054    0.080    0.057  999.000  999.000    0.075    0.036  999.000    0.050    0.086    0.032    0.135   3
00 41    0.048    0.059    0.071  999.000  999.000    0.064    0.027  999.000    0.052    0.122    0.031    0.105   3
00 42    0.062    0.063    0.073  999.000  999.000    0.080    0.055  999.000    0.051    0.144    0.044    0.095   3
00 43    0.056    0.052    0.073  999.000  999.000    0.078    0.057  999.000    0.034    0.106    0.027    0.080   3
00 44    0.048    0.047    0.050  999.000  999.000    0.056    0.052  999.000    0.036    0.045    0.014    0.086   3
00 45    0.058    0.060    0.048  999.000  999.000    0.083    0.045  999.000    0.044    0.100    0.028    0.095   3
00 46    0.066    0.060    0.074  999.000  999.000    0.104    0.055  999.000    0.039    0.085    0.031    0.113   3
00 47    0.059    0.052    0.105  999.000  999.000    0.083    0.071  999.000    0.022    0.086    0.038    0.135   3
00 48    0.043    0.028    0.066  999.000  999.000    0.058    0.044  999.000    0.027    0.065    0.034    0.157   3
00 49    0.075    0.042    0.054  999.000  999.000    0.114    0.076  999.000    0.036    0.065    0.026    0.110   3
00 50    0.055    0.049    0.063  999.000  999.000    0.075    0.062  999.000    0.029    0.034    0.023    0.095   3
00 51    0.046    0.060    0.041  999.000  999.000    0.076    0.042  999.000    0.020    0.042    0.028    0.115   3
00 52    0.057    0.054    0.047  999.000  999.000    0.098    0.052  999.000    0.021    0.036    0.027    0.093   3
00 53    0.051    0.068    0.077  999.000  999.000    0.078    0.060  999.000    0.013    0.045    0.021    0.065   3
00 54    0.049    0.086    0.053  999.000  999.000    0.073    0.059  999.000    0.015    0.034    0.026    0.067   3
00 55    0.070    0.112    0.041  999.000  999.000    0.109    0.078  999.000    0.023    0.076    0.041    0.101   3
00 56    0.062    0.060    0.042  999.000  999.000    0.089    0.066  999.000    0.030    0.076    0.035    0.036   3
00 57    0.072    0.110    0.055  999.000  999.000    0.115    0.061  999.000    0.040    0.059    0.030    0.065   3
00 58    0.075    0.063    0.066  999.000  999.000    0.109    0.066  999.000    0.049    0.097    0.046    0.108   3
00 59    0.069    0.057    0.077  999.000  999.000    0.111    0.061  999.000    0.036    0.071    0.040    0.128   3
01 00    0.070    0.066    0.093  999.000  999.000    0.112    0.061  999.000    0.038    0.035    0.033    0.157   3
01 01    0.065    0.057    0.043  999.000  999.000    0.087    0.071  999.000    0.036    0.040    0.029    0.149   3
01 02    0.068    0.051    0.045  999.000  999.000    0.102    0.076  999.000    0.025    0.091    0.035    0.158   3
01 03    0.080    0.050    0.085  999.000  999.000    0.102    0.093  999.000    0.046    0.106    0.044    0.102   3
01 04    0.084    0.034    0.067  999.000  999.000    0.127    0.070  999.000    0.056    0.114    0.058    0.051   3
01 05    0.073    0.040    0.049  999.000  999.000    0.098    0.062  999.000    0.057    0.134    0.077    0.110   3
01 06    0.068    0.072    0.044  999.000  999.000    0.096    0.060  999.000    0.049    0.139    0.061    0.162   3
01 07    0.084    0.085    0.082  999.000  999.000    0.120    0.079  999.000    0.055    0.124    0.034    0.055   3
01 08    0.074    0.045    0.082  999.000  999.000    0.093    0.073  999.000    0.055    0.105    0.040    0.078   3
01 09    0.069    0.047    0.065  999.000  999.000    0.097    0.066  999.000    0.043    0.089    0.049    0.080   3
01 10    0.064    0.043    0.061  999.000  999.000    0.098    0.062  999.000    0.030    0.066    0.036    0.121   3
01 11    0.066    0.050    0.056  999.000  999.000    0.102    0.072  999.000    0.025    0.085    0.026    0.135   3
01 12    0.065    0.044    0.061  999.000  999.000    0.107    0.058  999.000    0.030    0.082    0.035    0.098   3
01 13    0.071    0.067    0.066  999.000  999.000    0.109    0.079  999.000    0.023    0.077    0.038    0.091   3
01 14    0.067    0.071    0.062  999.000  999.000    0.099    0.085  999.000    0.017    0.073    0.054    0.126   3
01 15    0.064    0.065    0.057  999.000  999.000    0.100    0.070  999.000    0.021    0.081    0.064    0.132   3
01 16    0.062    0.071    0.047  999.000  999.000    0.094    0.067  999.000    0.025    0.109    0.063    0.121   3
01 17    0.082    0.060    0.044  999.000  999.000    0.125    0.088  999.000    0.032    0.123    0.045    0.089   3
01 18    0.120    0.058    0.032  999.000  999.000    0.120    0.209  999.000    0.031    0.126    0.030    0.054   3
01 19    0.101    0.045    0.054  999.000  999.000    0.096    0.182  999.000    0.023    0.083    0.021    0.100   3
01 20    0.113    0.042    0.074  999.000  999.000    0.079    0.228  999.000    0.031    0.052    0.023    0.162   3
01 21    0.102    0.027    0.071  999.000  999.000    0.089    0.194  999.000    0.022    0.056    0.025    0.130   3
01 22    0.049    0.050    0.065  999.000  999.000    0.065    0.060  999.000    0.021    0.079    0.024    0.091   3
01 23    0.054    0.075    0.094  999.000  999.000    0.070    0.050  999.000    0.042    0.094    0.026    0.069   3
01 24    0.067    0.043    0.050  999.000  999.000    0.105    0.043  999.000    0.053    0.144    0.032    0.050   3
01 25    0.042    0.042    0.028  999.000  999.000    0.052    0.045  999.000    0.029    0.080    0.044    0.058   3
01 26    0.038    0.078    0.022  999.000  999.000    0.039    0.054  999.000    0.021    0.081    0.056    0.099   3
01 27    0.072    0.086    0.027  999.000  999.000    0.086    0.101  999.000    0.029    0.053    0.058    0.095   3
01 28    0.084    0.079    0.053  999.000  999.000    0.088    0.144  999.000    0.018    0.068    0.058    0.110   3
01 29    0.096    0.107    0.078  999.000  999.000    0.120    0.138  999.000    0.030    0.147    0.059    0.066   3
01 30    0.097    0.061    0.049  999.000  999.000    0.105    0.156  999.000    0.029    0.100    0.061    0.054   3
01 31    0.060    0.059    0.057  999.000  999.000    0.071    0.076  999.000    0.034    0.091    0.043    0.145   3
01 32    0.059    0.110    0.069  999.000  999.000    0.078    0.055  999.000    0.045    0.105    0.060    0.213   3
01 33    0.067    0.093    0.059  999.000  999.000    0.077    0.069  999.000    0.056    0.108    0.055    0.157   3
01 34    0.062    0.066    0.081  999.000  999.000    0.089    0.045  999.000    0.051    0.081    0.029    0.059   3
01 35    0.054    0.053    0.052  999.000  999.000    0.071    0.060  999.000    0.030    0.068    0.014    0.055   3
01 36    0.075    0.043    0.084  999.000  999.000    0.070    0.124  999.000    0.033    0.116    0.027    0.123   3
01 37    0.056    0.051    0.082  999.000  999.000    0.072    0.067  999.000    0.031    0.087    0.029    0.126   3
01 38    0.047    0.040    0.052  999.000  999.000    0.060    0.057  999.000    0.025    0.081    0.031    0.059   3
01 39    0.051    0.034    0.030  999.000  999.000    0.059    0.068  999.000    0.025    0.075    0.033    0.083   3
01 40    0.051    0.058    0.058  999.000  999.000    0.045    0.085  999.000    0.023    0.054    0.039    0.115   3
01 41    0.071    0.059    0.111  999.000  999.000    0.054    0.133  999.000    0.026    0.029    0.032    0.116   3
01 42    0.075    0.075    0.108  999.000  999.000    0.059    0.142  999.000    0.023    0.033    0.010    0.137   3
01 43    0.060    0.086    0.082  999.000  999.000    0.058    0.097  999.000    0.024    0.055    0.012    0.111   3
01 44    0.081    0.079    0.097  999.000  999.000    0.078    0.131  999.000    0.034    0.058    0.021    0.105   3
01 45    0.072    0.059    0.083  999.000  999.000    0.043    0.151  999.000    0.024    0.041    0.027    0.094   3
01 46    0.062    0.046    0.059  999.000  999.000    0.035    0.121  999.000    0.031    0.071    0.042    0.085   3
01 47    0.053    0.053    0.042  999.000  999.000    0.025    0.108  999.000    0.026    0.056    0.034    0.072   3
01 48    0.055    0.044    0.054  999.000  999.000    0.060    0.078  999.000    0.026    0.031    0.019    0.072   3
01 49    0.073    0.058    0.034  999.000  999.000    0.076    0.121  999.000    0.022    0.036    0.015    0.069   3
01 50    0.060    0.068    0.045  999.000  999.000    0.071    0.083  999.000    0.024    0.039    0.022    0.077   3
01 51    0.042    0.083    0.026  999.000  999.000    0.051    0.036  999.000    0.039    0.061    0.024    0.083   3
01 52    0.047    0.065    0.048  999.000  999.000    0.050    0.048  999.000    0.043    0.066    0.020    0.072   3
01 53    0.047    0.070    0.091  999.000  999.000    0.065    0.042  999.000    0.034    0.053    0.019    0.061   3
01 54    0.045    0.044    0.073  999.000  999.000    0.055    0.052  999.000    0.028    0.075    0.033    0.086   3
01 55    0.066    0.100    0.073  999.000  999.000    0.076    0.089  999.000    0.034    0.072    0.038    0.098   3
01 56    0.055    0.111    0.083  999.000  999.000    0.053    0.061  999.000    0.051    0.073    0.034    0.170   3
01 57    0.061    0.103    0.046  999.000  999.000    0.068    0.072  999.000    0.044    0.085    0.027    0.179   3
01 58    0.076    0.072    0.028  999.000  999.000    0.108    0.064  999.000    0.055    0.110    0.035    0.167   3
01 59    0.065    0.058    0.054  999.000  999.000    0.086    0.059  999.000    0.050    0.101    0.040    0.142   3
02 00    0.062    0.065    0.075  999.000  999.000    0.074    0.043  999.000    0.038    0.092    0.035    0.142   4
02 01    0.059    0.061    0.054  999.000  999.000    0.046    0.079  999.000    0.034    0.079    0.025    0.140   4
02 02    0.045    0.069    0.072  999.000  999.000    0.024    0.073  999.000    0.028    0.055    0.013    0.083   4
02 03    0.042    0.058    0.044  999.000  999.000    0.043    0.042  999.000    0.029    0.054    0.028    0.087   4
02 04    0.048    0.056    0.058  999.000  999.000    0.061    0.039  999.000    0.029    0.062    0.034    0.082   4
02 05    0.046    0.055    0.073  999.000  999.000    0.058    0.036  999.000    0.037    0.052    0.027    0.087   4
02 06    0.060    0.045    0.033  999.000  999.000    0.059    0.057  999.000    0.037    0.088    0.030    0.047   4
02 07    0.054    0.040    0.036  999.000  999.000    0.062    0.047  999.000    0.024    0.085    0.033    0.040   4
02 08    0.053    0.035    0.045  999.000  999.000    0.069    0.065  999.000    0.029    0.048    0.018    0.084   4
02 09    0.049    0.041    0.046  999.000  999.000    0.054    0.053  999.000    0.027    0.063    0.033    0.110   4
02 10    0.048    0.046    0.021  999.000  999.000    0.044    0.032  999.000    0.035    0.080    0.037    0.091   4
02 11    0.052    0.041    0.044  999.000  999.000    0.079    0.037  999.000    0.032    0.061    0.033    0.094   4
02 12    0.072    0.046    0.061  999.000  999.000    0.118    0.055  999.000    0.034    0.082    0.036    0.117   4
02 13    0.062    0.037    0.053  999.000  999.000    0.104    0.063  999.000    0.031    0.051    0.037    0.152   4
02 14    0.076    0.042    0.068  999.000  999.000    0.119    0.097  999.000    0.025    0.062    0.036    0.172   4
02 15    0.054    0.040    0.098  999.000  999.000    0.054    0.096  999.000    0.023    0.043    0.033    0.192   4
02 16    0.048    0.070    0.071  999.000  999.000    0.035    0.091  999.000    0.024    0.042    0.019    0.137   4
02 17    0.052    0.046    0.053  999.000  999.000    0.054    0.070  999.000    0.030    0.055    0.009    0.130   4
02 18    0.051    0.034    0.076  999.000  999.000    0.077    0.052  999.000    0.031    0.043    0.014    0.109   4
02 19    0.052    0.058    0.097  999.000  999.000    0.075    0.068  999.000    0.024    0.043    0.029    0.093   4
02 20    0.072    0.048    0.064  999.000  999.000    0.116    0.106  999.000    0.020    0.045    0.033    0.092   4
02 21    0.066    0.047    0.067  999.000  999.000    0.065    0.110  999.000    0.024    0.066    0.022    0.048   4
02 22    0.061    0.065    0.041  999.000  999.000    0.064    0.087  999.000    0.021    0.072    0.018    0.067   4
02 23    0.072    0.083    0.065  999.000  999.000    0.038    0.185  999.000    0.023    0.042    0.013    0.097   4
02 24    0.069    0.051    0.058  999.000  999.000    0.074    0.129  999.000    0.026    0.047    0.014    0.066   4
02 25    0.055    0.042    0.058  999.000  999.000    0.051    0.066  999.000    0.038    0.063    0.012    0.048   4
02 26    0.052    0.062    0.058  999.000  999.000    0.063    0.057  999.000    0.034    0.056    0.021    0.039   4
02 27    0.068    0.037    0.054  999.000  999.000    0.077    0.124  999.000    0.023    0.046    0.022    0.046   4
02 28    0.063    0.041    0.069  999.000  999.000    0.062    0.106  999.000    0.028    0.054    0.040    0.040   4
02 29    0.055    0.046    0.055  999.000  999.000    0.081    0.060  999.000    0.028    0.052    0.021    0.050   4
02 30    0.053    0.036    0.060  999.000  999.000    0.096    0.066  999.000    0.016    0.033    0.015    0.036   4
02 31    0.057    0.033    0.060  999.000  999.000    0.089    0.087  999.000    0.016    0.034    0.022    0.067   4
02 32    0.067    0.055    0.066  999.000  999.000    0.102    0.101  999.000    0.020    0.047    0.022    0.130   4
02 33    0.079    0.061    0.060  999.000  999.000    0.113    0.137  999.000    0.020    0.044    0.014    0.089   4
02 34    0.068    0.069    0.087  999.000  999.000    0.075    0.144  999.000    0.017    0.036    0.025    0.076   4
02 35    0.064    0.033    0.049  999.000  999.000    0.099    0.098  999.000    0.016    0.041    0.021    0.079   4
02 36    0.069    0.032    0.040  999.000  999.000    0.074    0.116  999.000    0.025    0.060    0.016    0.118   4
02 37    0.062    0.042    0.036  999.000  999.000    0.066    0.086  999.000    0.030    0.066    0.024    0.086   4
02 38    0.069    0.056    0.038  999.000  999.000    0.112    0.065  999.000    0.031    0.069    0.035    0.044   4
02 39    0.069    0.061    0.061  999.000  999.000    0.106    0.102  999.000    0.022    0.045    0.027    0.075   4
02 40    0.060    0.042    0.097  999.000  999.000    0.083    0.094  999.000    0.026    0.034    0.023    0.124   4
02 41    0.055    0.050    0.070  999.000  999.000    0.084    0.075  999.000    0.029    0.031    0.029    0.121   4
02 42    0.066    0.051    0.054  999.000  999.000    0.103    0.108  999.000    0.022    0.032    0.035    0.083   4
02 43    0.060    0.074    0.057  999.000  999.000    0.086    0.082  999.000    0.027    0.047    0.028    0.104   4
02 44    0.065    0.063    0.077  999.000  999.000    0.078    0.073  999.000    0.039    0.081    0.030    0.128   3
02 45    0.086    0.074    0.082  999.000  999.000    0.066    0.098  999.000    0.045    0.116    0.059    0.074   3
02 46    0.093    0.051    0.032  999.000  999.000    0.070    0.084  999.000    0.062    0.134    0.065    0.053   3
02 47    0.072    0.050    0.060  999.000  999.000    0.089    0.044  999.000    0.048    0.124    0.041    0.057   3
02 48    0.065    0.047    0.049  999.000  999.000    0.089    0.043  999.000    0.030    0.123    0.026    0.049   3
02 49    0.049    0.029    0.045  999.000  999.000    0.060    0.042  999.000    0.027    0.076    0.025    0.061   3
02 50    0.034    0.070    0.055  999.000  999.000    0.081    0.056  999.000    0.015    0.030    0.031    0.072   3
02 51    0.042    0.069    0.041  999.000  999.000    0.083    0.069  999.000    0.013    0.042    0.020    0.046   3
02 52    0.051    0.043    0.083  999.000  999.000    0.089    0.106  999.000    0.019    0.028    0.019    0.078   3
02 53    0.061    0.044    0.089  999.000  999.000    0.098    0.078  999.000    0.022    0.084    0.018    0.109   3
02 54    0.056    0.081    0.115  999.000  999.000    0.150    0.056  999.000    0.027    0.084    0.019    0.136   3
02 55    0.056    0.092    0.103  999.000  999.000    0.127    0.095  999.000    0.017    0.056    0.029    0.178   3
02 56    0.047    0.076    0.045  999.000  999.000    0.173    0.070  999.000    0.022    0.049    0.028    0.141   3
02 57    0.042    0.052    0.039  999.000  999.000    0.150    0.066  999.000    0.035    0.026    0.022    0.085   3
02 58    0.030    0.034    0.040  999.000  999.000    0.094    0.036  999.000    0.030    0.024    0.020    0.061   3
02 59    0.027    0.048    0.033  999.000  999.000    0.060    0.021  999.000    0.035    0.024    0.019    0.128   3
03 00    0.033    0.033    0.062  999.000  999.000    0.070    0.036  999.000    0.041    0.021    0.022    0.156   3
03 01    0.038    0.045    0.050  999.000  999.000    0.110    0.036  999.000    0.047    0.030    0.022    0.103   3
03 02    0.062    0.055    0.046  999.000  999.000    0.122    0.028  999.000    0.102    0.057    0.024    0.048   3
03 03    0.102    0.071    0.069  999.000  999.000    0.129    0.038  999.000    0.178    0.090    0.054    0.064   3
03 04    0.162    0.134    0.151  999.000  999.000    0.153    0.098  999.000    0.259    0.129    0.103    0.122   3
03 05    0.226    0.184    0.223  999.000  999.000    0.249    0.103  999.000    0.362    0.215    0.134    0.185   3
03 06    0.184    0.157    0.191  999.000  999.000    0.232    0.123  999.000    0.246    0.184    0.127    0.228   3
03 07    0.131    0.104    0.099  999.000  999.000    0.095    0.078  999.000    0.098    0.219    0.094    0.208   3
03 08    0.156    0.052    0.126  999.000  999.000    0.071    0.052  999.000    0.099    0.315    0.103    0.222   3
03 09    0.122    0.029    0.070  999.000  999.000    0.055    0.085  999.000    0.106    0.176    0.083    0.163   3
03 10    0.094    0.076    0.070  999.000  999.000    0.067    0.076  999.000    0.085    0.120    0.086    0.050   3
03 11    0.087    0.100    0.089  999.000  999.000    0.079    0.068  999.000    0.072    0.120    0.083    0.150   3
03 12    0.096    0.093    0.113  999.000  999.000    0.109    0.133  999.000    0.061    0.095    0.083    0.244   3
03 13    0.087    0.057    0.083  999.000  999.000    0.079    0.097  999.000    0.059    0.103    0.060    0.162   3
03 14    0.116    0.048    0.099  999.000  999.000    0.082    0.041  999.000    0.104    0.202    0.044    0.123   3
03 15    0.201    0.069    0.073  999.000  999.000    0.138    0.075  999.000    0.145    0.382    0.070    0.100   3
03 16    0.224    0.094    0.077  999.000  999.000    0.112    0.154  999.000    0.182    0.337    0.107    0.128   3
03 17    0.132    0.085    0.045  999.000  999.000    0.128    0.138  999.000    0.087    0.171    0.107    0.147   3
03 18    0.065    0.084    0.062  999.000  999.000    0.093    0.055  999.000    0.047    0.093    0.101    0.162   3
03 19    0.049    0.073    0.107  999.000  999.000    0.097    0.043  999.000    0.022    0.082    0.071    0.234   3
03 20    0.046    0.050    0.097  999.000  999.000    0.160    0.037  999.000    0.020    0.082    0.049    0.165   3
03 21    0.045    0.052    0.114  999.000  999.000    0.105    0.047  999.000    0.015    0.074    0.038    0.092   3
03 22    0.051    0.039    0.100  999.000  999.000    0.064    0.052  999.000    0.024    0.076    0.029    0.123   3
03 23    0.061    0.042    0.037  999.000  999.000    0.070    0.075  999.000    0.030    0.078    0.022    0.113   3
03 24    0.103    0.086    0.098  999.000  999.000    0.111    0.106  999.000    0.043    0.162    0.041    0.161   3
03 25    0.122    0.074    0.146  999.000  999.000    0.140    0.155  999.000    0.046    0.166    0.046    0.332   3
03 26    0.127    0.066    0.088  999.000  999.000    0.151    0.167  999.000    0.040    0.175    0.046    0.202   3
03 27    0.102    0.061    0.079  999.000  999.000    0.114    0.098  999.000    0.033    0.175    0.049    0.295   3
03 28    0.076    0.051    0.065  999.000  999.000    0.095    0.072  999.000    0.039    0.118    0.043    0.249   3
03 29    0.065    0.046    0.055  999.000  999.000    0.085    0.062  999.000    0.043    0.089    0.036    0.118   3
03 30    0.059    0.067    0.067  999.000  999.000    0.073    0.065  999.000    0.034    0.077    0.046    0.134   3
03 31    0.118    0.112    0.113  999.000  999.000    0.074    0.068  999.000    0.066    0.219    0.084    0.246   3
03 32    0.239    0.117    0.125  999.000  999.000    0.096    0.139  999.000    0.142    0.435    0.099    0.232   3
03 33    0.127    0.097    0.076  999.000  999.000    0.142    0.093  999.000    0.047    0.207    0.050    0.152   2
03 34    0.123    0.099    0.060  999.000  999.000    0.214    0.059  999.000    0.054    0.193    0.067    0.232   2
03 35    0.391    0.129    0.087  999.000  999.000    0.224    0.121  999.000    0.222    0.559    0.144    0.246   2
03 36    0.611    0.143    0.126  999.000  999.000    0.227    0.196  999.000    0.363    0.858    0.178    0.186   2
03 37    0.381    0.112    0.154  999.000  999.000    0.194    0.178  999.000    0.248    0.513    0.081    0.219   2
03 38    0.201    0.181    0.278  999.000  999.000    0.132    0.110  999.000    0.137    0.264    0.085    0.513   2
03 39    0.140    0.092    0.137  999.000  999.000    0.068    0.063  999.000    0.067    0.213    0.066    0.272   2
03 40    0.094    0.044    0.128  999.000  999.000    0.097    0.074  999.000    0.048    0.141    0.042    0.153   2
03 41    0.073    0.073    0.109  999.000  999.000    0.084    0.075  999.000    0.050    0.095    0.034    0.290   2
03 42    0.070    0.085    0.087  999.000  999.000    0.115    0.048  999.000    0.043    0.098    0.038    0.298   2
03 43    0.097    0.116    0.163  999.000  999.000    0.136    0.060  999.000    0.052    0.142    0.025    0.158   2
03 44    0.068    0.047    0.183  999.000  999.000    0.094    0.090  999.000    0.053    0.084    0.030    0.216   2
03 45    0.039    0.057    0.160  999.000  999.000    0.151    0.101  999.000    0.033    0.046    0.027    0.218   2
03 46    0.058    0.111    0.122  999.000  999.000    0.101    0.080  999.000    0.038    0.078    0.025    0.194   2
03 47    0.079    0.116    0.114  999.000  999.000    0.093    0.080  999.000    0.065    0.093    0.032    0.163   2
03 48    0.038    0.122    0.139  999.000  999.000    0.081    0.101  999.000    0.025    0.051    0.026    0.180   2
03 49    0.074    0.129    0.159  999.000  999.000    0.137    0.102  999.000    0.029    0.119    0.047    0.298   2
03 50    0.073    0.123    0.140  999.000  999.000    0.135    0.091  999.000    0.029    0.117    0.061    0.287   2
03 51    0.038    0.071    0.059  999.000  999.000    0.133    0.072  999.000    0.023    0.052    0.028    0.116   2
03 52    0.046    0.105    0.069  999.000  999.000    0.096    0.070  999.000    0.021    0.071    0.020    0.072   2
03 53    0.051    0.063    0.097  999.000  999.000    0.148    0.078  999.000    0.033    0.070    0.022    0.130   2
03 54    0.058    0.073    0.089  999.000  999.000    0.143    0.091  999.000    0.036    0.080    0.026    0.142   2
03 55    0.051    0.088    0.067  999.000  999.000    0.124    0.086  999.000    0.034    0.069    0.037    0.120   2
03 56    0.055    0.083    0.070  999.000  999.000    0.105    0.066  999.000    0.031    0.080    0.035    0.136   2
03 57    0.075    0.064    0.071  999.000  999.000    0.076    0.063  999.000    0.036    0.113    0.041    0.192   2
03 58    0.059    0.038    0.066  999.000  999.000    0.080    0.061  999.000    0.023    0.095    0.032    0.133   2
03 59    0.075    0.070    0.085  999.000  999.000    0.132    0.058  999.000    0.030    0.120    0.032    0.173   2
04 00    0.065    0.089    0.094  999.000  999.000    0.107    0.119  999.000    0.025    0.105    0.027    0.160   2
04 01    0.061    0.084    0.072  999.000  999.000    0.163    0.115  999.000    0.025    0.098    0.019    0.129   2
04 02    0.064    0.051    0.057  999.000  999.000    0.134    0.052  999.000    0.024    0.104    0.023    0.074   2
04 03    0.066    0.062    0.156  999.000  999.000    0.105    0.056  999.000    0.027    0.105    0.031    0.157   2
04 04    0.062    0.037    0.133  999.000  999.000    0.058    0.208  999.000    0.020    0.103    0.031    0.136   2
04 05    0.064    0.056    0.077  999.000  999.000    0.078    0.179  999.000    0.025    0.103    0.035    0.043   2
04 06    0.064    0.062    0.086  999.000  999.000    0.101    0.137  999.000    0.026    0.103    0.030    0.061   2
04 07    0.063    0.039    0.103  999.000  999.000    0.110    0.168  999.000    0.025    0.101    0.028    0.058   2
04 08    0.056    0.048    0.065  999.000  999.000    0.090    0.090  999.000    0.015    0.098    0.031    0.069   2
04 09    0.053    0.055    0.073  999.000  999.000    0.089    0.052  999.000    0.011    0.095    0.035    0.111   2
04 10    0.055    0.037    0.057  999.000  999.000    0.105    0.122  999.000    0.022    0.088    0.034    0.094   2
04 11    0.050    0.041    0.072  999.000  999.000    0.093    0.075  999.000    0.021    0.078    0.031    0.178   2
04 12    0.047    0.045    0.103  999.000  999.000    0.119    0.061  999.000    0.022    0.072    0.033    0.135   2
04 13    0.045    0.061    0.082  999.000  999.000    0.160    0.064  999.000    0.020    0.070    0.041    0.101   2
04 14    0.057    0.080    0.056  999.000  999.000    0.173    0.106  999.000    0.032    0.082    0.043    0.101   2
04 15    0.061    0.049    0.072  999.000  999.000    0.111    0.062  999.000    0.033    0.090    0.042    0.069   2
04 16    0.055    0.055    0.117  999.000  999.000    0.086    0.171  999.000    0.030    0.080    0.035    0.129   2
