HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 00    0.063    0.030    0.058  999.000  999.000    0.099    0.057  999.000    0.033    0.072    0.027    0.101   3
00 01    0.055    0.037    0.068  999.000  999.000    0.085    0.045  999.000    0.033    0.072    0.024    0.145   3
00 02    0.059    0.056    0.060  999.000  999.000    0.099    0.056  999.000    0.023    0.084    0.027    0.142   3
00 03    0.062    0.049    0.056  999.000  999.000    0.078    0.068  999.000    0.040    0.137    0.040    0.121   3
00 04    0.061    0.076    0.064  999.000  999.000    0.083    0.065  999.000    0.034    0.148    0.086    0.177   3
00 05    0.057    0.076    0.066  999.000  999.000    0.098    0.053  999.000    0.019    0.116    0.061    0.096   3
00 06    0.128    0.058    0.095  999.000  999.000    0.263    0.085  999.000    0.036    0.111    0.055    0.226   3
00 07    0.181    0.087    0.148  999.000  999.000    0.363    0.150  999.000    0.031    0.085    0.056    0.234   3
00 08    0.244    0.100    0.199  999.000  999.000    0.492    0.204  999.000    0.036    0.077    0.069    0.126   3
00 09    0.202    0.048    0.088  999.000  999.000    0.386    0.190  999.000    0.031    0.054    0.043    0.096   3
00 10    0.132    0.081    0.046  999.000  999.000    0.270    0.097  999.000    0.027    0.102    0.064    0.051   3
00 11    0.069    0.070    0.139  999.000  999.000    0.131    0.039  999.000    0.037    0.119    0.034    0.065   3
00 12    0.073    0.083    0.141  999.000  999.000    0.135    0.045  999.000    0.038    0.088    0.024    0.078   3
00 13    0.066    0.048    0.080  999.000  999.000    0.104    0.068  999.000    0.026    0.086    0.020    0.093   3
00 14    0.068    0.049    0.080  999.000  999.000    0.113    0.066  999.000    0.024    0.081    0.019    0.087   3
00 15    0.047    0.041    0.061  999.000  999.000    0.071    0.049  999.000    0.021    0.051    0.020    0.053   3
00 16    0.047    0.047    0.059  999.000  999.000    0.069    0.041  999.000    0.030    0.054    0.036    0.062   3
00 17    0.050    0.037    0.044  999.000  999.000    0.074    0.037  999.000    0.039    0.085    0.037    0.095   3
00 18    0.046    0.045    0.035  999.000  999.000    0.067    0.048  999.000    0.025    0.093    0.045    0.130   3
00 19    0.067    0.036    0.081  999.000  999.000    0.093    0.075  999.000    0.034    0.073    0.039    0.224   3
00 20    0.066    0.035    0.079  999.000  999.000    0.074    0.076  999.000    0.048    0.054    0.024    0.150   3
00 21    0.045    0.059    0.081  999.000  999.000    0.055    0.046  999.000    0.035    0.047    0.037    0.060   3
00 22    0.043    0.084    0.140  999.000  999.000    0.059    0.052  999.000    0.018    0.069    0.052    0.176   3
00 23    0.048    0.086    0.151  999.000  999.000    0.079    0.048  999.000    0.018    0.111    0.073    0.263   3
00 24    0.060    0.080    0.089  999.000  999.000    0.064    0.076  999.000    0.038    0.143    0.063    0.198   3
00 25    0.052    0.094    0.076  999.000  999.000    0.069    0.058  999.000    0.030    0.118    0.048    0.136   3
00 26    0.046    0.124    0.059  999.000  999.000    0.075    0.046  999.000    0.018    0.075    0.040    0.152   3
00 27    0.037    0.131    0.081  999.000  999.000    0.061    0.036  999.000    0.014    0.088    0.043    0.120   3
00 28    0.040    0.129    0.095  999.000  999.000    0.069    0.034  999.000    0.016    0.078    0.029    0.120   3
00 29    0.050    0.102    0.087  999.000  999.000    0.084    0.039  999.000    0.028    0.089    0.037    0.149   3
00 30    0.055    0.065    0.064  999.000  999.000    0.095    0.041  999.000    0.030    0.073    0.040    0.133   3
00 31    0.042    0.056    0.031  999.000  999.000    0.057    0.044  999.000    0.025    0.083    0.016    0.106   3
